Category,Requirement (from Spec),Current Status,What's Built,Gap / What's Needed,Effort
Core: Functional,Ingest files from SharePoint 2019 document library,✅ Done,fetchLibraryItems + fetchDocumentContent via NTLM auth,None,—
Core: Functional,"Supported file types: PDF, DOCX, XLSX, PPTX, SP pages, TXT",⚠️ Partial,"TXT, DOCX/DOC, PDF wired up; CSV and MD also handled","XLSX, PPTX, and SharePoint page text extraction not implemented. PDF parser instantiation looks buggy (new PDFParse() is non-standard).",Medium
Core: Functional,RAG – answers grounded only in approved knowledge base,⚠️ Partial,All documents concatenated and included in system prompt as raw text context,"No real RAG (no chunking, no embeddings, no vector search). Works for small libraries; will break or degrade as document count grows. True RAG pipeline needed.",High
Core: Functional,Must NOT answer from model general knowledge,✅ Done,System prompt explicitly forbids outside knowledge; temperature=0 set,None,—
Core: Functional,Not-found fallback message (exact wording),✅ Done,Configurable in Settings; injected into system prompt; admin can edit via UI,None,—
Core: Functional,Citations: source document name + page/section/cell range,⚠️ Partial,Title + URL cited in every response via forced Sources section,"No page numbers, section headings, slide numbers, or worksheet names captured. Chunking with metadata is required for this.",High
Core: Functional,Plain-language summary + short quoted excerpt from source,⚠️ Partial,Plain-language answers enforced via system prompt,Direct quote / excerpt surfacing not in prompt or UI. Spec requires a note when a direct quote is used.,Low
Core: Functional,Session-only memory (no long-term user memory),❌ Not Met,Messages stored in DB across all sessions with no expiry or isolation,"Messages table persists for all users/sessions. Need per-session scoping (sessionId) and expiry, or clear-on-close logic.",Medium
Core: Functional,No role-based access (phase 1),✅ Done,No auth or roles implemented,None,—
Core: Functional,No user login required (phase 1),✅ Done,"Fully open, no login",None,—
Core: Functional,Embeddable in SharePoint 2019 via iframe / Content Editor Web Part,✅ Done,Floating widget suitable for iframe embedding; /widget route available,None,—
Ingestion,Connect to SharePoint 2019 document library,✅ Done,"NTLM auth, site URL + library name configurable in Settings",None,—
Ingestion,File upload/replace handled through SharePoint library (not separate UI),✅ Done,Admin uploads to SharePoint; app syncs on demand,None,—
Ingestion,Detect added/replaced/updated files and refresh index,⚠️ Partial,Sync button does a full replace (delete all + re-import),No incremental/delta sync. No change detection by file modification date. All docs re-fetched every sync.,Medium
Ingestion,Extract text: TXT,✅ Done,"Direct UTF-8 read, capped at 8,000 chars","8,000-char cap may truncate large files",Low
Ingestion,Extract text: DOCX / DOC,✅ Done,mammoth library used,"8,000-char cap may truncate long documents",Low
Ingestion,Extract text: PDF,⚠️ Broken,pdf-parse wired but PDFParse is called as a constructor incorrectly,Fix pdf-parse usage: should be pdfParse(buffer) not new PDFParse({data: buffer}),Low
Ingestion,Extract text: XLSX (Excel),❌ Not Built,Not implemented; returns unsupported message,Add xlsx or exceljs package to extract cell data with sheet/cell metadata,Medium
Ingestion,Extract text: PPTX (PowerPoint),❌ Not Built,Not implemented; returns unsupported message,Add pptx2json or officeparser package to extract slide text with slide numbers,Medium
Ingestion,Extract text: SharePoint page content,❌ Not Built,Not implemented,Call SP REST API to fetch page content (/_api/web/webs or page list items),Medium
Ingestion,"Chunk content with citation metadata (file, page, section, slide, sheet)",❌ Not Built,"Content stored as one flat blob per document, truncated at 8,000 chars","Implement chunking strategy: split by page/section/slide, store chunk-level metadata (page #, heading, slide #, sheet name)",High
Ingestion,Store embeddings in vector database for semantic search,❌ Not Built,PostgreSQL stores raw text; no embeddings or vector store,"Generate embeddings (Azure OpenAI text-embedding-ada-002) and store in pgvector or external vector DB (e.g. Pinecone, Qdrant)",High
Ingestion,Preserve source metadata for citations,⚠️ Partial,Title and URL stored per document,"Need page numbers, section headings, chunk-level metadata once chunking is added",Medium
Retrieval,Semantic search over knowledge base for each query,❌ Not Built,All documents concatenated into one prompt context block,"Embed user query, vector-search top-N chunks, inject only relevant chunks into prompt",High
Retrieval,Assemble prompt with admin instructions + retrieved citations,⚠️ Partial,Admin instructions + all doc content in system prompt,Replace all-docs approach with top-N retrieved chunks after vector search is built,Medium
Retrieval,Send to AI and return grounded answer with citations,✅ Done,"Azure OpenAI GPT-4o called, response returned with forced Sources section",None once retrieval is upgraded,—
Instruction Layer,Admin-editable system instruction area,✅ Done,"Custom Instructions textarea in Settings, saved to DB, applied to every chat",None,—
Instruction Layer,"Controls tone, scope, fallback behavior, answer format, org-specific rules",✅ Done,Custom instructions + separate Not Found Message + AI parameters,None,—
Instruction Layer,Configurable via UI without code changes,✅ Done,Full Settings page at /settings,None,—
AI Model,Use Azure OpenAI (GPT) via API,✅ Done,Azure OpenAI GPT-4o via direct fetch with AZURE_OPENAI_API_KEY env var,None,—
AI Model,Embeddings + semantic retrieval,❌ Not Built,Not implemented,Use Azure OpenAI embeddings endpoint + vector DB (see Ingestion/Retrieval rows),High
AI Model,"Configurable model parameters (temp, top_p, max_tokens, etc.)",✅ Done,"All 5 parameters configurable in Settings, stored in DB, applied per request",None,—
AI Model,Avoid guessing / state when info not found,✅ Done,System prompt enforces this; not-found message injected,None,—
AI Model,Concise plain-language answers,✅ Done,Enforced via system prompt rules,None,—
AI Model,Return citations with every answer,✅ Done,Mandatory Sources section format enforced in system prompt,None,—
Security,No training on company data,✅ Done,Azure OpenAI API — Microsoft does not train on API data by default,None,—
Security,US-only hosting,⚠️ Unknown,Replit deployment geography not explicitly set,Configure deployment region to US-only when publishing,Low
Security,Documents and embeddings stored securely,⚠️ Partial,PostgreSQL managed by Replit; no custom encryption at rest,"When embeddings are added, ensure vector store is also US-region and encrypted",Low
Security,"API keys and secrets in environment variables, not hardcoded",✅ Done,All secrets in Replit env vars; no hardcoded keys in code,None,—
Security,Log errors and basic usage; do not store sensitive conversation history beyond session,⚠️ Partial,Errors logged to console; messages stored in DB indefinitely with no expiry,Add session scoping + expiry for messages table. Audit what is logged.,Medium
UI,Question input,✅ Done,Input field at bottom of chat,None,—
UI,Answer text display,✅ Done,Markdown rendered with rehype-raw and links opening in new tabs,None,—
UI,Citations displayed,✅ Done,Sources section rendered as clickable links,None,—
UI,Note when answer includes direct quote,❌ Not Built,No quote/excerpt indicator in UI,Add visual indicator (e.g. blockquote styling or badge) when AI returns a direct quote,Low
UI,Follow-up questions during same session,✅ Done,Message history shown; input always available,Note: history is NOT passed to the AI — each message is answered in isolation. True follow-up context requires conversation history sent in messages array.,Medium
UI,"Clean, lightweight, embeddable",✅ Done,Floating widget + iframe-friendly design,None,—
UI,Loading state,✅ Done,Animated typing indicator while waiting for response,None,—
